route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
1.101.1,1.101.H2740,1.101.11426484,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2740,1.101.11426490,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2740,1.101.11426492,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2740,1.101.11426498,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2740,1.101.11426504,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2740,1.101.11426486,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2740,1.101.11426488,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2740,1.101.11426494,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2740,1.101.11426496,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2740,1.101.11426500,"Collblanc",0,1.101.10501.1,1
1.101.1,1.101.H2740,1.101.11426502,"Collblanc",0,1.101.10501.1,1
1.104.1,1.104.H3466,1.104.11572206,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H3466,1.104.11572208,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H3466,1.104.11572210,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H3466,1.104.11572212,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H3466,1.104.11572214,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H3466,1.104.11572216,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H3466,1.104.11572218,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H3466,1.104.11572220,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H3466,1.104.11572222,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H3466,1.104.11572226,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H3466,1.104.11572228,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H3466,1.104.11572230,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H3466,1.104.11572232,"Gorg",0,1.104.10400.1,1
